SMILES,Frequency,Percentage,MoleculeFrequency,MoleculePercentage
ccc1cC2(C)CCCC(C)(C)C2CC1,2,0.0000,2,0.0000
*SSSCO[H],1,0.0000,1,0.0000
CCCCC(C)C(C)(CC)C(C)CC,4,0.0000,4,0.0000
ccc(cccc(c)CC)c1ccccc1,1,0.0000,1,0.0000
ccc(c)C(C)C(C)CCC(CC)C(CC)C(C)C(C)C,1,0.0000,1,0.0000
CC1CCC(CCC(C)C2(C)CCC(C(C)(C)C)C(C)(C)C2C)CC1C,4,0.0000,4,0.0000
CC1(C)CCC2CCC(C)(CC2C1)C3(C)CCC4C(C)(C)CCCC4(C)C3,20,0.0000,20,0.0001
cc(c-1cccc(cc1)C)C,1,0.0000,1,0.0000
CCC1(C)CCC(C)C(CCCC(C)(C)C)C1,1,0.0000,1,0.0000
cc-ccccC,1,0.0000,1,0.0000
cc(cc1cc(c2c(c1)C3CC(C)C(CCCC(C)C)C3(C)CC2)C)C,1,0.0000,1,0.0000
ccc(c)C1CCC2C1(C)CCC3C(C)C(CCC32C)C(C)(C)C,1,0.0000,1,0.0000
CC(C)CCCC(C)C1CCC(C)CC1C,2,0.0000,2,0.0000
ccc(c)CCC(CC)C(CCC)C(C)C,6,0.0000,6,0.0000
*OC(=CO[H])C=C,1,0.0000,1,0.0000
*OC(=CC(=CO[H])C(*)=O)C(*)=O,1,0.0000,1,0.0000
c(cC(C)C)c1cc(cc(c1C)C)C,1,0.0000,1,0.0000
c1cc2c(cc1C)CCC2,1,0.0000,1,0.0000
*N(*)C(C=C)=C1C(=O)C(=C)N(*)C1=O,1,0.0000,1,0.0000
*[N+]([O-])=NO[H],14,0.0000,12,0.0001
cccc-cc(c)CC,1,0.0000,1,0.0000
c1cc(cc(c1)C2C(C)CCC2C(C)C)C,5,0.0000,5,0.0000
CC1(C)CCC(C1)C2CC2,3,0.0000,3,0.0000
CCC(C)C1CCC2(C)C(CCC2C(C)C)C1,1,0.0000,1,0.0000
CC1CCC2CCCCCC12,5,0.0000,5,0.0000
CCCCC1(C)C(C)CCC(C)C1CC,27,0.0000,27,0.0002
c1ccc(cc1)CC(CC)C(C)C,19,0.0000,19,0.0001
*N(O[H])O[H],4,0.0000,2,0.0000
CCC(C)C1CCC(C)C1(C)CC,326,0.0002,326,0.0020
*OC1(C(*)=O)C(Cl)=C(Cl)C(=O)N1*,3,0.0000,3,0.0000
CCC1(C)C(CCC2(C)C1CCC3C4C(C)C(C)CCC4(C)CCC32C)C(C)C,2,0.0000,2,0.0000
CC(C)(C)C1CCC2(C)C3CCCC2C1(C)C3,7,0.0000,7,0.0000
cc1ccccc1c2cccc(-c3cccc(c3)CCCCCC)c2c,2,0.0000,2,0.0000
CCCCCCC1CC2C(CC)CCC12,1,0.0000,1,0.0000
ccc(c)CC(C)(C)C(C)C(C)CCCC(C)C,1,0.0000,1,0.0000
CCC(C)C(C)C1(C)CCCC(C)C1,4,0.0000,4,0.0000
CCCCCCCCCCCCC(C)C,67,0.0000,67,0.0004
cccc(c)-c1ccccc1C,3,0.0000,3,0.0000
*OC(=O)C=C(OC(*)=O)C(*)=O,1,0.0000,1,0.0000
c1ccc(cc1)Cc2cccc3cc(ccc32)C,5,0.0000,5,0.0000
c(ccCCC)cCC,2,0.0000,2,0.0000
CCCCCCC(C)(C)CCCC,1,0.0000,1,0.0000
CC1CCCC2C1(C)CCC3C4(C)CCC5(C)CCC(C)(C)CC5C4CCC23C,5,0.0000,5,0.0000
CCCCCC(C)C(C)C(C)(C)CC,3,0.0000,3,0.0000
c1cC(ccCC1)C,3,0.0000,3,0.0000
c1ccc2cc3cc(ccc3cc2c1)CC(C)C,1,0.0000,1,0.0000
c1cc(cc(c1)CC(C)C)CC(C)C,5,0.0000,5,0.0000
*OC(=O)C=CC=CC=CC=CC=CC(=O)O[H],1,0.0000,1,0.0000
c1ccc2c(c1)cc(cc2C)CC,1,0.0000,1,0.0000
CCCC1CCC(C1C)C2CCC3CCCCC3(C)C2C,1,0.0000,1,0.0000
CC(C)CCCCC1CCC2C3CCC(C)C(C)C3CCC12C,3,0.0000,3,0.0000
CCC(C)CCCCCC(C)CC,2,0.0000,2,0.0000
cccc1cc(cc(c1)C(C)C)C(c2ccc(cc2)c3ccccc3)CC(C)C,1,0.0000,1,0.0000
ccc(cc)Cc1ccccc1,2,0.0000,2,0.0000
CC(C)CCCC(C)C1CCC2CC(CCC21C)C(C)C,2,0.0000,2,0.0000
CCC1(C)CCCC1C(C)CCCC(C)C,19,0.0000,19,0.0001
CCCC(C)(C)C1CCC2(C)CCCC(C)C2C1,3,0.0000,3,0.0000
*C(=O)C=NN(*)*,2,0.0000,2,0.0000
CC1CCCC2(C)C1CC34CC(C)C(CCC32)C4,3,0.0000,3,0.0000
cccCCCCCCCCC,1,0.0000,1,0.0000
ccc1cCC2C(C)C(CCC2C1)C(C)(C)CC,8,0.0000,8,0.0001
CC(C)C1CCC2C3CCC4C(C)(C)CCCC4(C)C3CCC12C,1,0.0000,1,0.0000
*C(=O)C(Br)=C1C=C(OC=C1C(*)=O)C(=C)C(*)=O,1,0.0000,1,0.0000
*C(=O)C=CC(=O)C=[N+]=[N-],1,0.0000,1,0.0000
*B(*)*,1,0.0000,1,0.0000
CCC(C)(CC)CCCCC(C)(CC)CC,2,0.0000,2,0.0000
CCC(C)C1CCC2(C)C(CCC2C1CC)C(C)CC,15,0.0000,15,0.0001
c1cc(cc2ccc(cc2)C)cc(c1)C,5,0.0000,5,0.0000
*NC=1C(=[cH2])C=CN(C(*)=O)C1N(*)*,2,0.0000,2,0.0000
c1cc2c(cc1C(C)C)CCCC2(C)CC(C)C,1,0.0000,1,0.0000
cccc(cC(C)CCC)C,1,0.0000,1,0.0000
CCC(CCC(C)C(C)C1(C)CCC2C(CCC3CCCCC32C)C1)C(C)C,1,0.0000,1,0.0000
CC(C)C1CCC2(C)CC3C(C)CCC45C(C)CCC5C4C3CC12,2,0.0000,2,0.0000
c1ccc(cc1)CC2CCC3(C)CCC(CC(C)C)C3C2C,1,0.0000,1,0.0000
CCC(C)CCC(C)(CC(C)C)C(C)C,1,0.0000,1,0.0000
*C(=O)C(=CO[H])N(*)C(=O)C(=CN1CC1)N(*)C(*)=O,2,0.0000,2,0.0000
*OC1=CC(=O)C=CC1(O*)O*,1,0.0000,1,0.0000
c1ccc2c(c1)c(cC(C)C)C3C(C)C(C)CCC3C2(C)C,1,0.0000,1,0.0000
CCCC(C)CCCC1(C)CCCCC1C,3,0.0000,3,0.0000
cc-cccc1ccccc1,2,0.0000,2,0.0000
CCCCCC(C)C1CCC2(C)C3CCC(C(C)C)C4CC43CCC12C,2,0.0000,2,0.0000
c1ccc(cc1)CCCCCCCCCCCCCCCCCCCCCCC,2,0.0000,2,0.0000
